Tipo Producto,Nombre Producto,Subproducto,Nombre Subproducto,ID Cliente 2
2,Tarjeta credito Master,44,MMBL,10000264834
12,Tarjeta Visa,21,VIS INTE AV,10000018169
2,Tarjeta credito Master,4,MOR,10000254379
1,Tarjeta Credito Visa,62,CENS G,10000157427
1,Tarjeta Credito Visa,62,CENS G,10000248252
3,Prestamos,411,CARTERA VIVIENDA PESOS,10000137390
2,Tarjeta credito Master,4,MOR,10000102664
4,Cuenta de Ahorro,36,FLEXI CUENTA,10000140951
1,Tarjeta Credito Visa,62,CENS G,10000273235
12,Tarjeta Visa,36,VIS PLAV,10000093775
1,Tarjeta Credito Visa,61,CENS CL,10000040591
1,Tarjeta Credito Visa,61,CENS CL,10000028794
4,Cuenta de Ahorro,36,FLEXI CUENTA,10000060068
12,Tarjeta Visa,36,VIS PLAV,10000107834
4,Cuenta de Ahorro,15,CUENTA DE AHORROS NOMINA,10000120709
2,Tarjeta credito Master,7,PLTUM,10000244965
300,Leasing Productos,6500,Leasing  Habitacional,10000079117
1,Tarjeta Credito Visa,62,CENS G,10000038638
2,Tarjeta credito Master,4,MOR,10000357230
2,Tarjeta credito Master,44,MMBL,10000081482
1,Tarjeta Credito Visa,2,VIS OR,10000347486
2,Tarjeta credito Master,44,MMBL,10000021863
9,TD M Tarjeta Debito Master,525358,MTRO,10000151108
1,Tarjeta Credito Visa,94,VLNCLAS,10000072778
1,Tarjeta Credito Visa,62,CENS G,10000127447
2,Tarjeta credito Master,83,MCLASH,10000280926
1,Tarjeta Credito Visa,94,VLNCLAS,10000073803
1,Tarjeta Credito Visa,97,VORCL,10000093265
12,Tarjeta Visa,21,VIS INTE AV,10000270124
1,Tarjeta Credito Visa,3,VIS PLAT CEN,10000157220
4,Cuenta de Ahorro,15,CUENTA DE AHORROS NOMINA,10000179717
12,Tarjeta Visa,21,VIS INTE AV,10000269597
1,Tarjeta Credito Visa,1,VIS CL,10000315992
2,Tarjeta credito Master,79,OLM,10000131520
12,Tarjeta Visa,21,VIS INTE AV,10000049834
3,Prestamos,411,CARTERA VIVIENDA PESOS,10000025204
1,Tarjeta Credito Visa,61,CENS CL,10000027992
2,Tarjeta credito Master,79,OLM,10000253510
200,Productos Banco SFC,201,Cuenta de ahorro,10000169059
12,Tarjeta Visa,21,VIS INTE AV,10000249938
12,Tarjeta Visa,82,VIS GOR,10000220620
1,Tarjeta Credito Visa,51,VIS INTE CEN,10000052073
1,Tarjeta Credito Visa,1,VIS CL,10000356959
2,Tarjeta credito Master,4,MOR,10000092228
4,Cuenta de Ahorro,37,RENTA PREMIUM,10000340281
4,Cuenta de Ahorro,30,AHORROS CUENTA CONMIGO,10000172541
2,Tarjeta credito Master,71,ORPAN,10000153986
1,Tarjeta Credito Visa,62,CENS G,10000046011
12,Tarjeta Visa,21,VIS INTE AV,10000021829
4,Cuenta de Ahorro,33,CUENTA FIEL,10000058935
1,Tarjeta Credito Visa,1,VIS CL,10000074727
1,Tarjeta Credito Visa,96,VIS CL CRO,10000096820
1,Tarjeta Credito Visa,73,VIS SIG,10000130226
1,Tarjeta Credito Visa,3,VIS PLAT CEN,10000028303
1,Tarjeta Credito Visa,1,VIS CL,10000070065
2,Tarjeta credito Master,3,MC,10000182211
12,Tarjeta Visa,36,VIS PLAV,10000296267
1,Tarjeta Credito Visa,1,VIS CL,10000306951
1,Tarjeta Credito Visa,6,PLTUM,10000224431
12,Tarjeta Visa,21,VIS INTE AV,10000297685
1,Tarjeta Credito Visa,61,CENS CL,10000318477
12,Tarjeta Visa,36,VIS PLAV,10000011276
1,Tarjeta Credito Visa,62,CENS G,10000296334
2,Tarjeta credito Master,79,OLM,10000278180
1,Tarjeta Credito Visa,60,ORCAF,10000015745
12,Tarjeta Visa,36,VIS PLAV,10000095906
12,Tarjeta Visa,36,VIS PLAV,10000160061
1,Tarjeta Credito Visa,96,VIS CL CRO,10000280551
2,Tarjeta credito Master,4,MOR,10000343956
1,Tarjeta Credito Visa,99,VIS SIG CLAS,10000063241
2,Tarjeta credito Master,3,MC,10000208303
1,Tarjeta Credito Visa,62,CENS G,10000135313
1,Tarjeta Credito Visa,94,VLNCLAS,10000263147
