DATE,PQRs
2022-06-01,209
2022-06-02,216
2022-06-03,188
2022-06-04,64
2022-06-05,20
2022-06-06,197
2022-06-07,190
2022-06-08,162
2022-06-09,170
2022-06-10,154
2022-06-11,55
2022-06-12,16
2022-06-13,192
2022-06-14,174
2022-06-15,199
2022-06-16,161
2022-06-17,194
2022-06-18,46
2022-06-19,7
2022-06-20,15
2022-06-21,210
2022-06-22,214
2022-06-23,208
2022-06-24,177
2022-06-25,42
2022-06-26,8
2022-06-27,18
2022-06-28,194
2022-06-29,179
2022-06-30,181
2022-07-01,168
2022-07-02,56
2022-07-03,12
2022-07-04,33
2022-07-05,226
2022-07-06,166
2022-07-07,194
2022-07-08,209
2022-07-09,50
2022-07-10,38
2022-07-11,233
2022-07-12,186
2022-07-13,203
2022-07-14,187
2022-07-15,184
2022-07-16,57
2022-07-17,18
2022-07-18,226
2022-07-19,203
2022-07-20,50
2022-07-21,213
2022-07-22,181
2022-07-23,56
2022-07-24,31
2022-07-25,239
2022-07-26,222
2022-07-27,182
2022-07-28,182
2022-07-29,212
2022-07-30,58
2022-07-31,37
2022-08-01,205
2022-08-02,225
2022-08-03,232
2022-08-04,224
2022-08-05,197
2022-08-06,52
2022-08-07,25
2022-08-08,203
2022-08-09,219
2022-08-10,247
2022-08-11,204
2022-08-12,166
2022-08-13,56
2022-08-14,41
2022-08-15,48
2022-08-16,173
2022-08-17,221
2022-08-18,192
2022-08-19,177
2022-08-20,86
2022-08-21,25
2022-08-22,234
2022-08-23,220
2022-08-24,207
2022-08-25,208
2022-08-26,167
2022-08-27,45
2022-08-28,22
2022-08-29,208
2022-08-30,216
2022-08-31,181
2022-09-01,199
2022-09-02,193
2022-09-03,60
2022-09-04,12
2022-09-05,205
2022-09-06,202
2022-09-07,182
2022-09-08,188
2022-09-09,148
2022-09-10,43
2022-09-11,15
2022-09-12,201
2022-09-13,194
2022-09-14,186
2022-09-15,169
2022-09-16,188
2022-09-17,50
2022-09-18,12
2022-09-19,184
2022-09-20,193
2022-09-21,195
2022-09-22,182
2022-09-23,130
2022-09-24,43
2022-09-25,16
2022-09-26,173
2022-09-27,172
2022-09-28,194
2022-09-29,174
2022-09-30,190
2022-10-01,68
2022-10-02,11
2022-10-03,190
2022-10-04,201
2022-10-05,181
2022-10-06,179
2022-10-07,162
2022-10-08,72
2022-10-09,24
2022-10-10,203
2022-10-11,182
2022-10-12,155
2022-10-13,142
2022-10-14,120
2022-10-15,54
2022-10-16,9
2022-10-17,25
2022-10-18,172
2022-10-19,157
2022-10-20,196
2022-10-21,153
2022-10-22,54
2022-10-23,52
2022-10-24,180
2022-10-25,199
2022-10-26,173
2022-10-27,180
2022-10-28,156
2022-10-29,53
2022-10-30,23
2022-10-31,181
2022-11-01,177
2022-11-02,206
2022-11-03,184
2022-11-04,159
2022-11-05,52
2022-11-06,16
2022-11-07,19
2022-11-08,173
2022-11-09,131
2022-11-10,170
2022-11-11,152
2022-11-12,57
2022-11-13,6
2022-11-14,11
2022-11-15,167
2022-11-16,179
2022-11-17,188
2022-11-18,167
2022-11-19,46
2022-11-20,13
2022-11-21,154
2022-11-22,136
2022-11-23,145
2022-11-24,181
2022-11-25,141
2022-11-26,57
2022-11-27,13
2022-11-28,148
2022-11-29,169
2022-11-30,137
2022-12-01,144
2022-12-02,118
2022-12-03,38
2022-12-04,15
2022-12-05,141
2022-12-06,138
2022-12-07,146
2022-12-08,17
2022-12-09,133
2022-12-10,43
2022-12-11,14
2022-12-12,193
2022-12-13,179
2022-12-14,128
2022-12-15,143
2022-12-16,136
2022-12-17,39
2022-12-18,12
2022-12-19,151
2022-12-20,159
2022-12-21,135
2022-12-22,169
2022-12-23,149
2022-12-24,24
2022-12-25,3
2022-12-26,146
2022-12-27,167
2022-12-28,172
2022-12-29,152
2022-12-30,50
2022-12-31,11
2023-01-01,6
2023-01-02,130
2023-01-03,162
2023-01-04,161
2023-01-05,144
2023-01-06,2
2023-01-07,45
2023-01-08,14
2023-01-09,15
2023-01-10,166
2023-01-11,172
2023-01-12,160
2023-01-13,154
2023-01-14,48
2023-01-15,22
2023-01-16,150
2023-01-17,162
2023-01-18,163
2023-01-19,163
2023-01-20,150
2023-01-21,61
2023-01-22,19
2023-01-23,152
2023-01-24,157
2023-01-25,151
2023-01-26,163
2023-01-27,145
2023-01-28,39
2023-01-29,11
2023-01-30,170
2023-01-31,194
2023-02-01,173
2023-02-02,209
2023-02-03,178
2023-02-04,49
2023-02-05,16
2023-02-06,186
2023-02-07,213
2023-02-08,196
2023-02-09,188
2023-02-10,179
2023-02-11,56
2023-02-12,12
2023-02-13,205
2023-02-14,208
2023-02-15,213
2023-02-16,186
2023-02-17,186
2023-02-18,46
2023-02-19,12
2023-02-20,168
2023-02-21,211
2023-02-22,176
